,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
776,Tanjong Pagar Complex,D2,Keppel Rd,24700,6500,3.8,https://www.99.co/singapore/commercial/rent/property/tanjong-pagar-complex-office-T33duUopH2uXzYWsu6o7qo#enquiry_source--Search,103.86732,1.29786
790,Delta House,D3,Alexandra Rd,11550,3300,3.5,https://www.99.co/singapore/commercial/rent/property/delta-house-office-BfpJ2XTY7sqMuYjd9ozt74#enquiry_source--Search,103.82524,1.29089
818,Geylang Road,D14,Geylang Rd,6500,1950,3.33,https://www.99.co/singapore/commercial/rent/property/geylang-road-office-3ZRYig8dFHFyehLccoGx2C#enquiry_source--Search,103.87046,1.30973
820,Kreta Ayer Conservation Area,D1,Upp Cross St,8000,2100,3.81,https://www.99.co/singapore/commercial/rent/property/kreta-ayer-conservation-area-office-C4FiBy7xsiqu5MT5rLXKgW#enquiry_source--Search,103.85085,1.28107
824,Upper Cross Street,D1,Upp Cross St,17268,2400,7.2,https://www.99.co/singapore/commercial/rent/property/upper-cross-street-office-DWKJswRwgcPFH8tmRe4Z9t#enquiry_source--Search,103.84481,1.28465
842,Singapore Business Federation Center,D1,Robinson Rd,4900,700,7.0,https://www.99.co/singapore/commercial/rent/property/singapore-business-federation-center-office-cJrNudBcLNLwn5g5pmkR8x#enquiry_source--Search,103.84864,1.27909
850,Springleaf Tower,D2,Anson Rd,13000,1300,10.0,https://www.99.co/singapore/commercial/rent/property/springleaf-tower-office-c79wzwBy9bbx8oN39krXDJ#enquiry_source--Search,103.85091,1.28311
851,Anson House,D2,Anson Rd,13000,1300,10.0,https://www.99.co/singapore/commercial/rent/property/anson-house-office-a52fnK4TbtgrbAYR7N3VdR#enquiry_source--Search,103.90125,1.31923
861,Kreta Ayer Conservation Area,D1,Sth Bridge Rd,48600,6068,8.01,https://www.99.co/singapore/commercial/rent/property/kreta-ayer-conservation-area-office-BJHTJqjnFnzhtsrRfGdYc5#enquiry_source--Search,103.84248,1.28005
862,Kensington Park Condominium,D19,Kensington Pk Dr,4000,1100,3.64,https://www.99.co/singapore/commercial/rent/property/kensington-park-condominium-office-NzopJm4zDBgGY6XBkWjZNq#enquiry_source--Search,103.77242,1.36376
864,Haite Building,D16,Changi Business Pk Cres,18760,5685,3.3,https://www.99.co/singapore/commercial/rent/property/haite-building-office-HbBV454EYrtqBxLMPQwucV#enquiry_source--Search,,
872,Westgate Tower,D22,Gateway Dr,91000,1400,65.0,https://www.99.co/singapore/commercial/rent/property/westgate-tower-office-NcHyBmDzD8xRTEioogYVBR#enquiry_source--Search,103.85091,1.28311
874,One Commonwealth,D3,C'Wealth Lane,4200,1227,3.42,https://www.99.co/singapore/commercial/rent/property/one-commonwealth-office-DaqCwX5NrsbHYqnJAmkFh6#enquiry_source--Search,103.76517,1.31523
876,Republic Plaza,D1,,39000,3724,10.47,https://www.99.co/singapore/commercial/rent/property/republic-plaza-office-jJeCvzEykZDwM8iwbDdu78#enquiry_source--Search,103.84465,1.42327
879,Yishun Avenue 5,D27,Yishun Ave 5,15950,1450,11.0,https://www.99.co/singapore/commercial/rent/property/yishun-avenue-5-office-BmP82xLpmBJGLddGY5FjDF#enquiry_source--Search,103.82824,1.42965
880,Noel Building,D13,Playfair Rd,780,90,8.67,https://www.99.co/singapore/commercial/rent/property/noel-building-office-DxiGyy3itVaLWz56Hu9geG#enquiry_source--Search,103.88662,1.33325
882,Link @ AMK,D20,Ang Mo Kio St 62,750,150,5.0,https://www.99.co/singapore/commercial/rent/property/link-amk-office-2CdQ8brH4soCJ7iYxBfeB3#enquiry_source--Search,103.84612,1.38792
883,LHK 2,D13,Playfair Rd,680,70,9.71,https://www.99.co/singapore/commercial/rent/property/lhk-2-office-dQ7rBJjzyLUsYdg2MCpSNF#enquiry_source--Search,103.88662,1.33325
885,Gsm Building,D7,Middle Rd,3688,1023,3.61,https://www.99.co/singapore/commercial/rent/property/gsm-building-office-MzUL7WyFsf3fXVkV2YbD9r#enquiry_source--Search,103.85559,1.29701
888,Queensway Shopping Centre/Queensway Tower,D3,Queensway,3500,452,7.74,https://www.99.co/singapore/commercial/rent/property/queensway-shopping-centrequeensway-tower-office-5XtbtYNciiVEA7wpTA9QH5#enquiry_source--Search,,
890,Telok Ayer Conservation Area,D1,Stanley St,24000,2600,9.23,https://www.99.co/singapore/commercial/rent/property/telok-ayer-conservation-area-office-7x3C8kuFrVYe7NayT5Ra5b#enquiry_source--Search,103.84914,1.283
891,Telok Ayer Conservation Area,D1,Amoy St,24000,2600,9.23,https://www.99.co/singapore/commercial/rent/property/telok-ayer-conservation-area-office-86sERn9SpTDFmz35N4prGf#enquiry_source--Search,103.84914,1.283
906,Furama City Centre Singapore,D1,Eu Tong Sen St,1850,230,8.04,https://www.99.co/singapore/commercial/rent/property/furama-city-centre-singapore-office-cbytKt7yKT5NuUt48u6S67#enquiry_source--Search,103.84796,1.2892
907,Lipo Building,D14,Aljunied Rd,750,180,4.17,https://www.99.co/singapore/commercial/rent/property/lipo-building-office-aMfv7u8Wuq9RzZg8ABENqS#enquiry_source--Search,103.88201,1.31353
908,Guthrie Building,D14,Changi Rd,4200,1250,3.36,https://www.99.co/singapore/commercial/rent/property/guthrie-building-office-a8qoM78rFxjMDeAA6CN6QA#enquiry_source--Search,103.89905,1.3163
915,Pandan Valley,D21,,1500,150,10.0,https://www.99.co/singapore/commercial/rent/property/pandan-valley-office-G2t5gfzFLmQsFprkstHUu6#enquiry_source--Search,103.90828,1.3921
920,Evershine And Century Complex,D7,Beach Rd,5300,1400,3.79,https://www.99.co/singapore/commercial/rent/property/evershine-and-century-complex-office-akFvbThKGjiUjyXYPNHoio#enquiry_source--Search,103.86454,1.30348
926,The Arcade,D1,Collyer Quay,16900,2600,6.5,https://www.99.co/singapore/commercial/rent/property/the-arcade-office-5dSdsJkYw2yXsw8Xn5Scuo#enquiry_source--Search,103.85273,1.28274
929,Golden Agri Plaza,D5,Pasir Panjang Rd,6615,1438,4.6,https://www.99.co/singapore/commercial/rent/property/golden-agri-plaza-office-arZhqqRaazMmD7CdBKFPFX#enquiry_source--Search,103.80232,1.27195
938,Oakwood Premier OUE Singapore / OUE Downtown,D1,Shenton Way,48913,5543,8.82,https://www.99.co/singapore/commercial/rent/property/oue-downtown-office-R9tef7CkjjvRaKNtEYhZUL#enquiry_source--Search,103.85055,1.27929
945,Cecil Court,D1,Cecil St,9185,1670,5.5,https://www.99.co/singapore/commercial/rent/property/cecil-court-office-dmZ4u8oe3X4JZCZGZvk2L2#enquiry_source--Search,103.84836,1.27945
