,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link
393,The Octagon,D1,Cecil St,38990,6189,6.3,https://www.99.co/singapore/commercial/rent/property/the-octagon-office-isCFdGq8aQEbFTQJidQ2fL#enquiry_source--Search
394,The House Of Eden,D1,Robinson Rd,5852,665,8.8,https://www.99.co/singapore/commercial/rent/property/the-house-of-eden-office-g8CC7GwcdgzmPjfdtPjG7X#enquiry_source--Search
395,The House Of Eden,D1,Robinson Rd,15540,1766,8.8,https://www.99.co/singapore/commercial/rent/property/the-house-of-eden-office-AKSpeqnWLMvTgTf3MV9b7H#enquiry_source--Search
396,Central Plaza,D3,Tiong Bahru Rd,13725,1830,7.5,https://www.99.co/singapore/commercial/rent/property/central-plaza-office-LyF42BtPFL2npBKJqRc42m#enquiry_source--Search
397,Bukit Pasoh Extnsn Constn Area,D2,Keong Saik Rd,16500,2850,5.79,https://www.99.co/singapore/commercial/rent/property/bukit-pasoh-extnsn-constn-area-office-Nb4TTeV8yjj97cCQGhM4TG#enquiry_source--Search
398,Tampines Plaza 2,D18,Tampines Ctrl 1,8053,1475,5.46,https://www.99.co/singapore/commercial/rent/property/tampines-plaza-2-office-57SXcSL6NVP2LGqw3Thpo6#enquiry_source--Search
399,Guthrie House,D10,Fifth Ave,17098,1030,16.6,https://www.99.co/singapore/commercial/rent/property/guthrie-house-office-cqevbuyCfgYFhTjGEnK2eE#enquiry_source--Search
400,Havelock2,D1,Havelock Rd,2940,420,7.0,https://www.99.co/singapore/commercial/rent/property/havelock2-office-yCCiv3R6XZ5Na6WDoyoqyV#enquiry_source--Search
401,Goldhill Plaza,D11,Goldhill Plaza,2750,500,5.5,https://www.99.co/singapore/commercial/rent/property/goldhill-plaza-office-AKzFN8iG5YzHaCWNM9x3gQ#enquiry_source--Search
402,Woods Square,D25,Woodlands Square,2200,560,3.93,https://www.99.co/singapore/commercial/rent/property/woods-square-office-BnBVSwyocexsKbVsyq68Ff#enquiry_source--Search
403,51 Cuppage Road,D9,Cuppage Rd,6714,1033,6.5,https://www.99.co/singapore/commercial/rent/property/51-cuppage-road-office-9m8kppxNvWAJUVR2tigMHq#enquiry_source--Search
404,Valley Point,D10,River Valley Rd,7024,1033,6.8,https://www.99.co/singapore/commercial/rent/property/valley-point-office-BtmBkFNCMYDo4bmyfsH4Sm#enquiry_source--Search
405,Lazada One,D7,Bras Basah Rd,30736,3616,8.5,https://www.99.co/singapore/commercial/rent/property/lazada-one-office-XobhsNe7KohTyKEAoyWz3f#enquiry_source--Search
406,Hana,D10,Tomlinson Rd,40000,3531,11.33,https://www.99.co/singapore/commercial/rent/property/hana-office-z244YZq4gw4CLRyJoM7UnF#enquiry_source--Search
407,Centennial Tower,D1,Temasek Ave,114730,10430,11.0,https://www.99.co/singapore/commercial/rent/property/centennial-tower-office-Xhpe8LrcgLysLFu98AvNpZ#enquiry_source--Search
408,The Concourse,D7,Beach Rd,90000,12000,7.5,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-PP3zScuCNLM2JB5JUrGU2R#enquiry_source--Search
409,The Concourse,D7,Beach Rd,9369,1249,7.5,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-pUmTppLPcKDEtaQvuXfsXk#enquiry_source--Search
410,The Concourse,D7,Beach Rd,8440,1055,8.0,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-UbNuksqx42h7V6shab2bou#enquiry_source--Search
411,The Concourse,D7,Beach Rd,23592,2949,8.0,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-cqEP7RRtfZUvcPwARckBJa#enquiry_source--Search
412,Hong Leong Building,D1,Raffles Quay,56700,6300,9.0,https://www.99.co/singapore/commercial/rent/property/hong-leong-building-office-cMymecuPX77iyrxEHGvA8y#enquiry_source--Search
413,Hong Leong Building,D1,Raffles Quay,20151,2239,9.0,https://www.99.co/singapore/commercial/rent/property/hong-leong-building-office-kkit2ewHmaYGwGXFULtBpQ#enquiry_source--Search
414,Lian Huat Building,D2,Tras St,2160,400,5.4,https://www.99.co/singapore/commercial/rent/property/lian-huat-building-office-PAWR2o8FaENSMfcqBoVYaJ#enquiry_source--Search
415,The Concourse,D7,Beach Rd,14896,1862,8.0,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-2YRLydUo8FjxUjTmjmKhSd#enquiry_source--Search
416,The Concourse,D7,Beach Rd,13608,1701,8.0,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-cYBthfSgAJ8W7JWpvGvKkc#enquiry_source--Search
417,The Concourse,D7,Beach Rd,20416,2552,8.0,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-dHSg8RuGcMvh29fUjU5srP#enquiry_source--Search
418,The Concourse,D7,Beach Rd,13000,1625,8.0,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-Xz3PBCEufYLPYYinKYxGV4#enquiry_source--Search
419,The Concourse,D7,Beach Rd,29947,3993,7.5,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-x5QXPRi27MhGyyjcjxWhLA#enquiry_source--Search
420,The Concourse,D7,Beach Rd,17355,2314,7.5,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-Lt24DW7UQxwTsSokepzvN4#enquiry_source--Search
421,One Raffles Place,D1,Raffles Pl,56074,4876,11.5,https://www.99.co/singapore/commercial/rent/property/one-raffles-place-office-rT2G757JM7DNzuvGMG5B9F#enquiry_source--Search
422,Valley Point,D10,River Valley Rd,31347,4898,6.4,https://www.99.co/singapore/commercial/rent/property/valley-point-office-kR4pbF3LPVvQ2pSzCkZiqv#enquiry_source--Search
423,Central Plaza,D3,Tiong Bahru Rd,8880,1184,7.5,https://www.99.co/singapore/commercial/rent/property/central-plaza-office-pFNDHnp8vFmqTCbskK2pPK#enquiry_source--Search
424,Central Plaza,D3,Tiong Bahru Rd,78712,10495,7.5,https://www.99.co/singapore/commercial/rent/property/central-plaza-office-znnAUcMVajNuwomou35WZL#enquiry_source--Search
425,Central Plaza,D3,Tiong Bahru Rd,39682,5436,7.3,https://www.99.co/singapore/commercial/rent/property/central-plaza-office-adXSxVP2PEoesiK5wu55rg#enquiry_source--Search
426,NTUC Income Tampines Junction,D18,Tampines Ave 5,11848,2174,5.45,https://www.99.co/singapore/commercial/rent/property/ntuc-income-tampines-junction-office-tn58ScrMh3DjZsJ8gET98b#enquiry_source--Search
427,Gateway East,D7,Beach Rd,4725,630,7.5,https://www.99.co/singapore/commercial/rent/property/gateway-east-office-STgYr8wssnQ4FRCYkh8MkP#enquiry_source--Search
428,Stamford Road,D6,Stamford Rd,4165,670,6.22,https://www.99.co/singapore/commercial/rent/property/stamford-road-office-gmGxGUhcDBEBdRVDDKXbhP#enquiry_source--Search
429,Wcega Tower,D23,Bt Batok Cres,1200,215,5.58,https://www.99.co/singapore/commercial/rent/property/wcega-tower-office-n9JFj4hwz5K8oSFBYQ3tDe#enquiry_source--Search
430,Woods Square,D25,Woodlands Square,2500,570,4.39,https://www.99.co/singapore/commercial/rent/property/woods-square-office-hraV4AUnJKMmjuG8HXzWtx#enquiry_source--Search
431,Woods Square,D25,Woodlands Square,2410,560,4.3,https://www.99.co/singapore/commercial/rent/property/woods-square-office-4m9oLqJJb7CtzKh3Sp87Lt#enquiry_source--Search
432,Prinsep Street,D7,Prinsep St,77000,14000,5.5,https://www.99.co/singapore/commercial/rent/property/prinsep-street-office-3xGkJ7ZCtp34PvbuGY4zoD#enquiry_source--Search
433,Eon Shenton,D2,Shenton Way,23888,3250,7.35,https://www.99.co/singapore/commercial/rent/property/eon-shenton-office-h62Vfj9qiBB3HGgPW9wrCK#enquiry_source--Search
434,Braddell Road,D20,Braddell Rd,12750,5532,2.3,https://www.99.co/singapore/commercial/rent/property/braddell-road-office-aLfMjGKpG9cUynvHowTjJ5#enquiry_source--Search
435,Middle Road,D7,Middle Rd,2280,474,4.81,https://www.99.co/singapore/commercial/rent/property/middle-road-office-M8gLqSnZYkUw7Y6i8zFEJm#enquiry_source--Search
436,The Bencoolen,D7,Bencoolen St,6770,1302,5.2,https://www.99.co/singapore/commercial/rent/property/the-bencoolen-office-X5m8Rw8wDBQuaiLqCn7uJg#enquiry_source--Search
437,The Bencoolen,D7,Bencoolen St,7610,1464,5.2,https://www.99.co/singapore/commercial/rent/property/the-bencoolen-office-mXGP95iawBAQ8SQ3XRNTWF#enquiry_source--Search
438,Goldhill Plaza,D11,Goldhill Plaza,8965,1630,5.5,https://www.99.co/singapore/commercial/rent/property/goldhill-plaza-office-XtBFqQnbUwmQbnqKgX4625#enquiry_source--Search
439,OG Albert Complex,D7,Albert St,2860,550,5.2,https://www.99.co/singapore/commercial/rent/property/og-albert-complex-office-F5ofiv8x2pDSxjTWAgw2QX#enquiry_source--Search
440,OG Albert Complex,D7,Albert St,4150,798,5.2,https://www.99.co/singapore/commercial/rent/property/og-albert-complex-office-BQzG7747qSn797crFX93ax#enquiry_source--Search
441,Orchard Rendezvous Hotel,D10,Tanglin Rd,3272,409,8.0,https://www.99.co/singapore/commercial/rent/property/orchard-rendezvous-hotel-office-eHMWqXc9ev5hBgRkZsp5q9#enquiry_source--Search
442,Far East Shopping Centre,D9,Orchard Rd,2100,363,5.79,https://www.99.co/singapore/commercial/rent/property/far-east-shopping-centre-office-Wq3epbmbqZ3qLSWyU9Mwui#enquiry_source--Search
443,Far East Shopping Centre,D9,Orchard Rd,5120,883,5.8,https://www.99.co/singapore/commercial/rent/property/far-east-shopping-centre-office-KPguUnqp8Mu2h63s7vGFED#enquiry_source--Search
